0,Session hours,Modem credit,FCFA/hr,Cum. Hrs.,Cum. Credit,FCFA/hr-to-date
2023-01-31,47.0,10000.0,213.0,47.0,10000.0,213
2023-02-28,46.0,40000.0,870.0,93.0,50000.0,538
2023-03-31,55.0,155000.0,2818.0,148.0,205000.0,1385
2023-04-30,37.0,176000.0,4757.0,185.0,381000.0,2059
2023-05-31,41.5,160000.0,3855.0,226.5,541000.0,2389
2023-06-30,36.67,0.0,0.0,263.17,541000.0,2056
2023-07-31,20.0,105000.0,5250.0,283.17,646000.0,2281
2023-08-31,48.0,45000.0,938.0,331.17,691000.0,2087
2023-09-30,91.0,90000.0,989.0,422.17,781000.0,1850
2023-10-31,39.5,75000.0,1899.0,461.67,856000.0,1854
2023-11-30,11.0,143600.0,13055.0,472.67,999600.0,2115
2023-12-31,11.0,0.0,0.0,483.67,999600.0,2067
2024-01-31,0.0,139200.0,0.0,483.67,1138800.0,2354
2024-02-29,22.5,160400.0,7129.0,506.17,1299200.0,2567
2024-03-31,3.5,0.0,0.0,509.67,1299200.0,2549
2024-04-30,24.5,0.0,0.0,534.1700000000001,1299200.0,2432
